epoch,epoch_time,lr-SparseLamb/pg1,lr-SparseLamb/pg2,step,train_loss,val_loss,val_r2
0,,,,293,3.871577739715576,,
,,0.002,0.002,294,,,
0,,,,294,5.791883945465088,,
,,0.002,0.002,295,,,
0,,,,295,2.2154011726379395,,
,,0.002,0.002,296,,,
0,,,,296,2.8463516235351562,,
,,0.002,0.002,297,,,
0,,,,297,2.9049184322357178,,
,,0.002,0.002,298,,,
0,,,,298,2.710829973220825,,
,,0.002,0.002,299,,,
0,,,,299,3.039283037185669,,
,,0.002,0.002,300,,,
0,,,,300,3.1605260372161865,,
,,0.002,0.002,301,,,
0,,,,301,2.739265203475952,,
,,0.002,0.002,302,,,
0,,,,302,4.097808837890625,,
,,0.002,0.002,303,,,
0,,,,303,2.5461366176605225,,
,,0.002,0.002,304,,,
0,,,,304,2.4838600158691406,,
,,0.002,0.002,305,,,
0,,,,305,5.646319389343262,,
,,0.002,0.002,306,,,
0,,,,306,3.7852766513824463,,
,,0.002,0.002,307,,,
0,,,,307,4.343926906585693,,
,,0.002,0.002,308,,,
0,,,,308,3.9001266956329346,,
,,0.002,0.002,309,,,
0,,,,309,4.868501663208008,,
,,0.002,0.002,310,,,
0,,,,310,6.636023044586182,,
,,0.002,0.002,311,,,
0,,,,311,1.857568621635437,,
,,0.002,0.002,312,,,
0,,,,312,3.226985454559326,,
,,0.002,0.002,313,,,
0,,,,313,3.4560163021087646,,
,,0.002,0.002,314,,,
0,,,,314,4.06551456451416,,
,,0.002,0.002,315,,,
0,,,,315,2.34942364692688,,
,,0.002,0.002,316,,,
0,,,,316,1.6875476837158203,,
,,0.002,0.002,317,,,
0,,,,317,3.9548799991607666,,
,,0.002,0.002,318,,,
0,,,,318,3.1250433921813965,,
,,0.002,0.002,319,,,
0,,,,319,3.100625991821289,,
,,0.002,0.002,320,,,
0,,,,320,3.590353488922119,,
,,0.002,0.002,321,,,
0,,,,321,2.575411796569824,,
,,0.002,0.002,322,,,
0,,,,322,4.628827095031738,,
,,0.002,0.002,323,,,
0,,,,323,3.545623302459717,,
,,0.002,0.002,324,,,
0,,,,324,3.5482563972473145,,
,,0.002,0.002,325,,,
0,,,,325,2.332047700881958,,
,,0.002,0.002,326,,,
0,,,,326,3.222757577896118,,
,,0.002,0.002,327,,,
0,,,,327,3.376616954803467,,
,,0.002,0.002,328,,,
0,,,,328,3.381049633026123,,
,,0.002,0.002,329,,,
0,,,,329,4.977527618408203,,
,,0.002,0.002,330,,,
0,,,,330,12.672229766845703,,
,,0.002,0.002,331,,,
0,,,,331,2.9949259757995605,,
,,0.002,0.002,332,,,
0,,,,332,2.981374740600586,,
,,0.002,0.002,333,,,
0,,,,333,3.3835902214050293,,
,,0.002,0.002,334,,,
0,,,,334,1.9446656703948975,,
,,0.002,0.002,335,,,
0,,,,335,2.930582046508789,,
,,0.002,0.002,336,,,
0,,,,336,3.8944337368011475,,
,,0.002,0.002,337,,,
0,,,,337,3.185062885284424,,
,,0.002,0.002,338,,,
0,,,,338,5.774338722229004,,
,,0.002,0.002,339,,,
0,,,,339,4.8392415046691895,,
,,0.002,0.002,340,,,
0,,,,340,2.8309080600738525,,
,,0.002,0.002,341,,,
0,,,,341,4.7838215827941895,,
,,0.002,0.002,342,,,
0,,,,342,3.2189483642578125,,
,,0.002,0.002,343,,,
0,,,,343,2.8104591369628906,,
,,0.002,0.002,344,,,
0,,,,344,4.751887798309326,,
,,0.002,0.002,345,,,
0,,,,345,3.63824725151062,,
,,0.002,0.002,346,,,
0,,,,346,3.3921072483062744,,
,,0.002,0.002,347,,,
0,,,,347,3.4178731441497803,,
,,0.002,0.002,348,,,
0,,,,348,4.2020039558410645,,
,,0.002,0.002,349,,,
0,,,,349,5.2023515701293945,,
,,0.002,0.002,350,,,
0,,,,350,3.9653279781341553,,
,,0.002,0.002,351,,,
0,,,,351,2.495852470397949,,
,,0.002,0.002,352,,,
0,,,,352,2.3968985080718994,,
,,0.002,0.002,353,,,
0,,,,353,2.072413921356201,,
,,0.002,0.002,354,,,
0,,,,354,2.874922752380371,,
,,0.002,0.002,355,,,
0,,,,355,5.726883411407471,,
,,0.002,0.002,356,,,
0,,,,356,3.4496397972106934,,
